age,gender,income,daily_gaming_hours,weekly_sessions,years_gaming,sleep_hours,caffeine_intake,exercise_hours,stress_level,anxiety_score,depression_score,social_interaction_score,relationship_satisfaction,academic_performance,work_productivity,addiction_level,multiplayer_ratio,toxic_exposure,violent_games_ratio,mobile_gaming_ratio,night_gaming_ratio,weekend_gaming_hours,friends_gaming_count,online_friends,streaming_hours,esports_interest,headset_usage,microtransactions_spending,parental_supervision,loneliness_score,aggression_score,happiness_score,bmi,screen_time_total,eye_strain_score,back_pain_score,competitive_rank,internet_quality
51,Female,8615,3.68,22,17,5.26,1.0,0.18,3,4.06,5.02,7.85,9.55,68.8,77.12,2.02,0.39,0.05,0.51,0.23,0.32,1.5,20,186,2.82,1,1,1746.97,0,2.87,3.19,5.2,19.69,4.71,5.71,4.81,80,10
33,Female,107013,1.97,34,19,7.51,0.09,2.33,4,2.47,4.32,6.28,9.63,80.06,82.63,1.34,0.37,0.52,0.68,0.55,0.93,3.62,19,240,1.01,9,1,876.42,3,5.57,7.82,4.39,16.61,12.66,7.87,4.56,31,4
31,Male,70054,2.61,31,0,8.45,4.8,2.59,10,5.43,3.74,3.19,3.87,89.32,54.98,0.67,0.3,0.16,0.22,0.74,0.45,2.53,40,299,1.27,9,0,1316.03,3,5.96,5.52,5.43,19.54,4.24,6.97,3.7,74,1
35,Other,39958,1.34,15,2,6.14,5.18,0.47,8,3.7,4.0,6.36,4.89,90.92,100.0,2.51,0.72,0.39,0.82,0.29,0.17,6.93,4,378,0.99,3,0,77.7,0,0.91,7.1,5.75,22.52,3.69,3.9,6.47,14,9
23,Female,19047,2.52,1,4,5.11,4.49,0.62,4,5.66,3.37,8.77,5.44,66.69,68.2,1.64,0.71,0.13,0.43,0.22,0.55,13.29,9,303,1.63,7,1,808.5,1,2.92,4.73,3.97,20.66,5.09,4.18,6.3,99,10
23,Male,21601,1.7,38,15,9.18,1.11,3.08,9,4.22,3.46,7.61,7.07,91.52,70.06,0.11,0.84,0.49,0.23,0.64,0.94,8.12,40,203,0.14,5,1,442.32,3,5.49,3.9,3.8,24.2,5.17,4.85,2.55,54,5
36,Male,128499,4.02,33,15,8.77,2.63,0.39,6,4.25,4.99,6.84,2.78,60.42,84.34,4.5,0.48,0.13,0.72,0.39,0.71,10.33,35,368,1.67,7,1,293.84,0,7.62,2.97,7.62,25.24,8.62,4.63,7.16,27,10
34,Male,70847,3.72,32,5,9.41,1.58,0.14,2,3.22,4.96,7.52,6.53,61.88,57.99,4.06,0.13,0.02,0.48,0.44,0.57,7.14,36,395,0.65,1,0,91.41,2,4.75,9.04,6.7,26.46,5.74,4.37,5.07,61,2
45,Male,32392,4.51,24,23,6.88,3.26,0.03,10,3.63,6.27,3.76,4.78,54.98,74.4,4.78,0.66,0.12,0.65,0.68,0.86,2.86,26,285,0.75,6,1,811.78,1,7.7,1.66,6.39,30.94,16.16,1.4,3.26,24,4
24,Other,109840,1.38,27,3,8.98,3.94,2.83,9,3.79,2.84,5.12,7.97,79.72,85.4,0.91,0.54,0.52,0.48,0.7,0.48,8.0,9,379,1.6,9,1,131.9,3,1.43,6.84,5.21,17.97,2.43,5.3,5.33,97,10
34,Female,56327,1.6,34,6,5.17,0.34,1.4,6,2.94,6.14,7.17,5.03,89.26,79.11,1.09,0.35,0.55,0.74,0.8,0.16,6.18,45,44,1.24,2,1,469.81,0,5.7,8.79,4.12,26.55,5.86,4.61,5.56,52,9
39,Female,141414,1.02,38,5,5.28,0.48,1.55,9,2.8,4.46,8.15,4.73,85.27,81.9,0.8,0.58,0.13,0.41,0.25,0.61,2.77,8,383,0.57,7,0,10.53,2,1.25,5.54,3.16,26.44,5.36,1.75,8.5,24,3
28,Female,78999,0.99,29,13,5.72,0.17,0.88,7,5.03,9.5,5.75,8.8,78.19,53.77,1.96,0.54,0.2,0.37,0.59,0.64,12.79,27,166,2.29,9,1,482.14,1,2.84,5.03,4.89,25.25,1.64,7.78,3.99,11,9
27,Male,33824,2.62,16,14,8.51,0.27,0.1,10,4.75,6.18,7.69,5.38,76.17,80.75,1.72,0.23,0.33,0.36,0.42,0.84,9.55,46,426,2.25,5,0,373.49,3,5.58,4.9,7.3,25.02,6.65,8.36,4.48,34,6
49,Male,89317,7.5,12,0,8.04,0.25,2.42,2,7.35,7.04,6.1,6.33,68.94,55.06,5.38,0.19,0.1,0.28,0.74,0.54,7.31,0,60,1.55,3,0,126.08,1,5.59,5.11,5.4,22.4,9.34,3.92,2.95,17,2
21,Male,25023,6.59,6,12,6.59,2.99,1.44,1,4.92,9.55,6.29,4.73,50.85,77.94,5.67,0.6,0.28,0.22,0.37,0.49,10.56,24,281,0.43,10,0,341.02,1,5.7,5.17,8.08,22.88,7.34,3.85,6.6,0,10
30,Male,70010,4.64,26,11,5.75,0.79,1.35,9,6.89,4.24,4.92,6.2,37.43,36.85,5.2,0.68,0.18,0.12,0.57,0.78,1.45,0,443,2.38,1,0,49.62,3,3.61,4.18,5.82,18.66,9.34,6.61,4.09,51,9
16,Female,10752,2.08,1,3,6.54,8.22,0.76,9,4.14,3.92,9.5,4.3,71.69,77.15,0.71,0.71,0.12,0.22,0.45,0.79,4.35,11,13,0.52,9,1,132.89,10,6.83,5.2,6.78,19.14,4.73,8.74,1.04,44,2
26,Female,132416,4.02,23,7,10.29,3.62,0.55,8,6.87,4.5,3.24,8.27,73.05,60.52,3.45,0.47,0.12,0.54,0.4,0.82,0.95,27,56,2.08,1,0,224.24,1,0.88,2.8,3.38,29.0,9.27,4.13,6.84,81,4
21,Male,109421,7.61,39,6,5.18,0.31,0.62,8,5.3,2.45,2.33,5.58,75.82,59.01,6.45,0.95,0.66,0.23,0.49,0.85,3.37,17,71,1.16,4,0,189.88,0,4.31,6.0,4.2,29.06,11.76,3.88,1.83,42,7
29,Female,59846,1.41,30,5,6.83,0.33,0.34,1,1.32,5.68,5.32,9.2,76.65,68.87,1.27,0.26,0.19,0.64,0.84,0.46,5.01,8,119,2.2,3,0,301.54,3,2.11,5.26,6.65,26.52,3.07,7.79,1.83,49,4
33,Male,8648,3.37,15,21,7.52,2.45,2.32,2,8.19,3.03,0.31,4.18,100.0,58.9,1.3,0.5,0.14,0.31,0.23,0.76,7.04,32,48,3.31,0,0,1187.8,2,6.96,5.27,8.61,23.4,5.75,3.88,2.93,11,9
59,Female,113726,0.48,13,15,7.79,1.66,0.79,4,2.65,6.37,5.97,5.39,56.9,71.45,0.0,0.58,0.2,0.3,0.14,0.4,3.38,39,326,3.55,4,1,17.16,1,10.0,6.54,7.64,27.44,1.35,5.29,5.76,51,9
57,Male,40857,6.51,16,0,5.9,1.38,0.84,6,2.02,8.13,7.22,5.35,67.34,63.05,5.9,0.74,0.4,0.17,0.8,0.48,11.75,19,219,0.63,0,1,961.76,3,0.17,3.56,6.1,20.42,6.68,6.36,3.67,86,8
53,Female,28516,11.18,10,17,7.6,0.06,0.18,3,3.19,5.52,4.83,6.11,64.85,68.24,7.79,0.39,0.06,0.13,0.62,0.65,3.38,9,220,1.92,0,0,30.88,3,5.64,6.31,6.81,26.29,14.14,4.42,4.18,26,8
29,Male,117936,0.58,1,1,9.69,2.48,1.85,5,4.59,1.9,6.64,5.23,75.17,49.37,0.0,0.56,0.43,0.32,0.43,0.39,4.66,48,158,1.03,0,1,199.86,0,2.05,6.6,5.75,21.3,7.26,6.79,3.25,82,8
51,Female,74611,0.58,4,21,6.55,1.13,0.07,10,2.88,4.09,3.2,7.69,59.45,98.72,0.0,0.75,0.34,0.8,0.46,0.52,4.96,35,184,1.0,6,1,2053.41,2,1.07,5.7,5.66,24.51,2.0,4.29,4.13,89,1
35,Male,58839,2.34,30,3,6.71,1.53,1.61,8,4.75,2.03,5.62,6.64,54.72,75.79,2.36,0.67,0.24,0.68,0.36,0.12,3.4,47,461,2.98,3,1,906.31,3,7.47,2.07,5.14,17.88,3.1,4.43,4.36,27,3
36,Female,5042,2.96,35,19,6.28,4.42,2.09,6,5.06,8.57,7.51,3.37,94.03,99.88,3.73,0.96,0.12,0.59,0.97,0.13,2.46,40,79,2.3,10,0,1310.97,2,4.14,6.13,6.14,21.44,4.31,7.64,4.07,55,10
49,Male,126692,0.34,35,23,6.78,3.88,1.65,8,5.73,5.44,8.65,6.5,66.61,68.06,0.0,0.4,0.2,0.42,0.76,0.41,9.94,25,156,0.4,6,0,329.16,0,4.69,2.79,2.64,24.77,4.52,6.56,4.11,19,4
52,Male,144766,7.72,1,4,3.3,2.99,0.14,5,3.56,6.91,3.51,7.26,88.05,64.73,5.85,0.34,0.17,0.58,0.12,0.26,7.64,27,159,1.13,6,1,1822.69,3,2.86,10.0,6.59,18.32,11.99,8.3,3.52,28,6
26,Female,141940,4.96,18,2,6.51,0.66,1.16,3,7.65,6.54,5.2,5.17,84.73,70.66,4.88,0.52,0.48,0.63,0.71,0.35,4.39,12,216,2.08,5,0,538.65,2,2.95,3.09,6.01,33.05,9.03,3.12,0.44,75,1
38,Male,62965,5.98,37,9,7.39,0.63,0.19,9,3.82,0.66,7.62,7.96,89.78,55.23,3.77,0.38,0.59,0.43,0.47,0.56,2.66,46,235,0.19,0,1,152.13,2,2.81,5.77,9.96,29.0,10.32,3.75,4.72,38,9
39,Female,148851,3.29,39,0,6.75,0.45,0.01,8,5.33,5.04,7.95,4.55,78.27,63.92,3.56,0.75,0.1,0.18,0.55,0.25,2.51,37,352,1.47,0,1,272.42,3,1.55,7.09,5.9,32.76,7.86,3.12,4.84,38,2
27,Male,46882,2.55,4,1,7.71,2.89,1.14,10,2.62,3.38,8.75,7.54,68.75,79.0,2.49,0.54,0.66,0.01,0.43,0.09,7.22,23,328,2.9,6,1,328.59,1,6.33,6.2,6.6,36.28,5.93,5.17,0.0,67,1
44,Male,148820,5.64,19,9,3.19,5.21,1.75,4,5.13,3.4,4.5,2.35,95.54,75.6,4.98,0.44,0.23,0.81,0.81,0.53,7.13,45,406,1.95,8,0,490.8,2,4.16,3.44,2.68,22.84,13.99,4.15,5.01,94,8
49,Male,102831,1.09,28,21,7.76,6.0,0.19,2,5.66,5.89,6.03,6.29,80.08,84.6,0.79,0.16,0.3,0.36,0.6,0.52,4.95,25,145,2.0,2,0,185.73,3,2.5,5.59,6.0,22.3,1.73,5.06,5.0,24,4
35,Male,121203,3.32,35,0,7.67,1.04,2.63,4,2.38,5.36,5.44,4.35,89.42,69.04,2.12,0.48,0.38,0.53,0.58,0.66,4.3,17,77,2.71,0,0,14.4,1,0.0,5.47,7.14,22.15,9.39,7.88,3.68,92,10
51,Female,127089,6.24,29,4,8.02,0.44,0.02,7,5.39,6.24,5.38,5.7,60.21,68.06,3.07,0.83,0.56,0.33,0.52,0.39,1.27,18,171,1.23,1,0,38.39,0,3.31,7.85,9.77,21.57,6.87,6.52,7.96,94,8
27,Female,41960,1.41,25,1,7.11,0.34,0.18,8,5.22,5.67,5.49,5.18,74.82,76.21,1.75,0.57,0.36,0.25,0.64,0.67,2.59,15,152,2.42,2,0,929.53,1,5.14,5.72,4.86,31.53,6.79,8.72,8.05,20,2
34,Male,16061,5.47,23,15,3.48,0.65,0.48,8,4.67,4.8,7.32,7.24,36.46,84.79,5.08,0.22,0.15,0.52,0.78,0.53,13.52,5,50,5.04,5,0,328.83,1,6.34,3.47,5.95,29.77,11.87,4.7,1.04,97,2
54,Male,92072,5.48,7,8,8.37,3.13,0.67,1,5.34,1.78,6.64,3.5,59.7,55.26,4.21,0.65,0.05,0.09,0.72,0.07,7.64,42,281,1.45,10,0,136.82,2,3.48,6.21,5.46,26.19,12.1,2.43,1.34,47,5
57,Female,148030,6.4,19,0,7.91,0.7,2.0,7,6.47,3.87,4.43,10.0,73.7,63.39,4.26,0.31,0.51,0.46,0.9,0.65,5.76,11,227,3.3,1,1,153.44,0,3.09,4.68,3.99,17.94,9.89,5.21,2.75,26,10
56,Male,15623,4.0,26,14,4.55,4.51,4.3,8,6.24,5.51,6.39,7.71,65.29,89.84,4.4,0.51,0.11,0.38,0.23,0.42,2.45,1,14,1.64,5,1,39.64,1,3.61,2.78,2.31,24.0,5.6,8.56,5.03,82,7
56,Female,107215,2.29,34,8,5.17,5.97,4.24,7,4.76,4.5,6.21,8.32,66.63,57.8,0.93,0.92,0.1,0.48,0.69,0.17,16.46,18,433,0.68,8,0,2388.86,0,4.59,5.64,7.64,23.07,5.48,3.93,5.54,60,7
37,Male,77807,4.62,3,10,6.91,2.28,0.96,6,4.94,3.22,6.65,6.9,56.46,81.55,2.62,0.94,0.3,0.22,0.34,0.53,2.59,12,277,3.36,6,0,1828.54,1,5.06,4.78,5.6,21.27,6.37,2.75,2.26,50,6
45,Male,84065,2.63,3,20,7.3,0.04,0.05,5,5.28,6.71,6.16,4.71,66.71,84.25,2.3,0.21,0.19,0.76,0.64,0.35,5.18,45,451,1.3,0,1,681.24,3,0.65,4.08,3.39,31.81,3.8,5.61,6.15,42,8
39,Female,62922,6.2,20,13,5.67,0.28,0.21,9,3.97,3.18,6.94,10.0,89.89,78.19,3.91,0.17,0.2,0.31,0.32,0.76,6.05,42,113,3.34,2,0,9.14,2,6.98,4.51,3.02,22.74,6.54,5.3,5.95,62,9
25,Female,96879,2.72,32,2,7.85,0.13,3.71,6,4.77,8.0,8.69,5.98,98.27,64.89,1.47,0.55,0.13,0.8,0.65,0.35,4.11,27,6,0.58,6,0,451.89,3,5.26,4.24,7.03,25.33,6.17,4.55,7.83,17,3
53,Female,83932,1.04,35,3,5.58,6.9,3.8,5,5.53,7.93,8.1,7.88,75.22,67.37,0.2,0.34,0.44,0.39,0.68,0.66,10.98,42,471,2.99,5,0,162.7,0,8.49,6.25,6.17,20.9,2.8,5.69,6.62,36,9
21,Female,70766,7.08,6,11,5.85,2.91,0.07,9,1.65,6.7,8.08,8.61,63.71,52.8,2.37,0.22,0.5,0.36,0.53,0.26,6.05,7,84,1.51,7,0,790.05,0,7.76,8.33,7.76,29.87,8.76,3.98,3.92,89,7
45,Female,65148,6.31,17,19,8.4,0.34,0.52,6,5.0,7.85,5.86,6.08,60.02,96.37,3.91,0.2,0.06,0.13,0.94,0.81,4.74,38,467,0.35,2,1,1252.34,2,5.06,5.16,4.3,20.94,11.49,3.41,5.18,2,3
54,Male,125918,5.1,35,19,7.41,0.12,0.48,3,7.21,3.81,4.01,8.88,78.9,65.44,2.98,0.79,0.25,0.41,0.35,0.81,5.02,36,171,0.6,5,1,687.27,1,4.9,4.87,3.1,25.16,6.21,3.63,5.74,95,10
24,Female,46237,3.2,30,2,5.5,0.15,2.24,6,3.68,7.54,4.34,8.27,51.29,72.89,1.59,0.56,0.25,0.52,0.93,0.45,14.84,24,172,1.63,6,1,102.82,2,4.0,3.71,6.76,24.35,8.63,5.0,4.7,59,10
29,Female,57384,1.22,31,22,7.02,1.17,1.49,1,3.99,3.79,7.72,3.73,55.47,65.26,0.62,0.13,0.49,0.63,0.91,0.79,9.31,7,348,4.03,9,1,1717.07,3,2.55,6.16,8.99,23.29,4.51,4.39,3.13,30,2
44,Male,123140,2.37,39,8,3.92,2.34,0.62,3,6.37,7.0,5.42,2.54,66.29,87.65,1.34,0.28,0.06,0.53,0.89,0.41,4.6,38,34,2.45,9,1,504.18,1,7.76,6.79,6.66,18.37,7.53,0.06,2.47,73,5
18,Male,124531,2.09,2,5,7.37,3.59,2.5,4,2.71,1.81,4.46,1.93,100.0,74.21,0.0,0.9,0.72,0.34,0.43,0.66,4.29,34,53,1.32,3,0,885.91,3,3.55,4.74,7.97,20.58,9.1,4.06,4.98,38,10
44,Female,144692,3.05,37,18,6.07,2.66,3.5,8,0.66,9.79,6.63,6.46,59.55,95.75,0.0,0.86,0.19,0.39,0.37,0.35,0.97,45,201,10.24,10,1,1169.7,2,6.24,6.96,6.1,27.52,10.74,4.78,3.94,5,8
29,Female,58021,5.09,34,7,7.07,2.51,2.65,2,6.47,6.22,5.48,0.91,56.18,84.13,3.6,0.93,0.12,0.58,0.35,0.27,16.7,11,205,1.19,8,1,131.32,1,6.24,7.85,6.38,22.95,8.61,5.5,2.99,34,4
36,Male,66550,12.41,12,13,8.1,2.76,1.54,10,6.51,5.84,5.09,6.17,52.22,52.18,8.44,0.24,0.78,0.35,0.15,0.33,7.44,31,268,1.19,5,0,19.11,3,3.4,4.18,3.06,22.7,14.04,3.27,3.47,36,8
